Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
09/06/2016,18133,,18359,18534,18702,16929,17794,18348,18390,18005,
10/06/2016,17998,,18135,18428,18558,16799,17731,18275,18122,17939,
11/06/2016,17842,,17946,18249,18378,16676,17615,18140,17876,17856,
12/06/2016,17653,,17735,17985,18170,16508,17464,17962,17679,17724,
13/06/2016,17475,,17554,17743,18011,16279,17388,17715,17485,17626,
14/06/2016,17294,,17407,17540,17795,16040,17342,17522,17241,17464,
15/06/2016,17096,,17245,17328,17536,15826,17323,17352,16946,17214,
16/06/2016,16860,,16955,17130,17290,15630,17141,17179,16640,16916,
17/06/2016,16641,,16731,17029,17066,15440,17018,16942,16324,16577,
18/06/2016,16423,,16538,16883,16860,15239,16846,16755,16008,16258,
19/06/2016,16200,,16319,16678,16665,15055,16595,16598,15757,15931,
20/06/2016,15985,,16143,16413,16410,14912,16374,16510,15490,15632,
21/06/2016,15785,,15906,16221,16168,14755,16277,16460,15146,15348,
22/06/2016,15566,,15639,15949,15907,14619,16139,16382,14855,15036,
23/06/2016,15338,,15420,15732,15659,14442,15965,16260,14574,14652,
24/06/2016,15101,,15201,15522,15385,14231,15741,16114,14280,14336,
25/06/2016,14854,,15042,15321,15063,14049,15444,15912,13987,14012,
26/06/2016,14592,,14877,15099,14694,13865,15136,15663,13695,13706,
27/06/2016,14314,,14742,14854,14389,13593,14776,15434,13303,13419,
28/06/2016,14045,,14532,14623,14139,13340,14497,15139,12955,13135,
29/06/2016,13744,,14310,14186,13886,13097,14278,14831,12618,12741,
30/06/2016,13456,,14063,13981,13643,12824,14021,14549,12259,12311,
01/07/2016,13145,,13681,13737,13317,12581,13727,14262,11890,11966,
02/07/2016,12842,,13355,13503,13020,12317,13466,13882,11583,11608,
03/07/2016,12522,12423,13150,13264,12678,12022,13193,13480,11235,11253,
04/07/2016,12188,11869,12843,13089,12322,11680,12905,13133,10951,10899,
05/07/2016,11865,11402,12683,12915,12018,11373,12542,12727,10583,10542,
06/07/2016,11558,11065,12529,12717,11655,11069,12199,12327,10236,10227,
07/07/2016,11252,10800,12292,12514,11254,10813,11912,11919,9926,9840,
08/07/2016,10958,10478,12043,12324,10912,10526,11641,11531,9580,9590,
09/07/2016,10686,10145,11806,12139,10600,10238,11406,11226,9213,9404,
10/07/2016,10431,9851,11550,11948,10311,9948,11184,10930,8966,9190,
11/07/2016,10174,9497,11303,11735,9994,9629,10981,10689,8757,8979,
12/07/2016,9905,9258,11006,11472,9649,9248,10735,10434,8543,8799,
13/07/2016,9616,8996,10677,11232,9318,8916,10464,10005,8320,8619,
14/07/2016,9354,8717,10390,10961,9075,8631,10098,9781,8122,8413,
15/07/2016,9107,8474,10057,10643,8833,8414,9882,9578,7961,8117,
16/07/2016,8874,8231,9758,10321,8554,8229,9730,9400,7772,7873,
17/07/2016,8647,8002,9462,10035,8318,8018,9539,9217,7586,7648,
18/07/2016,8428,7783,9217,9745,8112,7810,9336,9049,7374,7425,
19/07/2016,8201,7517,8977,9491,7896,7591,9052,8858,7202,7228,
20/07/2016,7989,7309,8737,9281,7675,7385,8798,8637,7036,7041,
21/07/2016,7785,7107,8461,9054,7480,7175,8566,8475,6873,6871,
22/07/2016,7577,6862,8173,8821,7312,7047,8375,8238,6698,6667,
23/07/2016,7403,6704,7946,8598,7149,6879,8168,8038,6573,6570,
24/07/2016,7224,6546,7731,8357,6950,6729,7947,7876,6449,6434,
25/07/2016,7078,6413,7544,8164,6771,6625,7723,7849,6321,6289,
26/07/2016,6920,6221,7367,8016,6611,6499,7524,7764,6170,6105,
27/07/2016,6772,6063,7187,7920,6441,6364,7328,7680,6067,5898,
28/07/2016,6639,5938,7064,7838,6292,6212,7208,7541,5970,5691,
29/07/2016,6493,5767,6999,7701,6119,6013,7095,7376,5864,5501,
30/07/2016,6365,5582,6966,7629,5945,5866,6991,7220,5777,5307,
31/07/2016,6230,5394,6952,7492,5769,5702,6868,7118,5669,5108,
01/08/2016,6114,5263,6973,7350,5632,5543,6707,7101,5517,4938,
02/08/2016,5999,5093,6950,7213,5480,5402,6593,7066,5402,4795,
03/08/2016,5893,4934,6967,7078,5379,5297,6481,7026,5233,4639,
04/08/2016,5788,4778,6951,6994,5308,5174,6364,6922,5098,4505,
05/08/2016,5687,4593,6937,6879,5193,5091,6315,6809,4971,4395,
06/08/2016,5587,4459,6892,6810,5090,4961,6209,6690,4872,4304,
07/08/2016,5508,4317,6888,6782,4989,4871,6173,6576,4779,4201,
08/08/2016,5436,4149,6856,6737,4889,4817,6161,6494,4718,4103,
09/08/2016,5375,4033,6846,6719,4813,4759,6174,6379,4607,4048,
10/08/2016,5314,3950,6825,6726,4699,4706,6118,6295,4500,4010,
11/08/2016,5259,3871,6785,6727,4568,4683,6055,6254,4416,3976,
12/08/2016,5207,3802,6744,6719,4442,4715,5996,6200,4337,3907,
13/08/2016,5156,3752,6687,6675,4370,4726,5966,6133,4266,3832,
14/08/2016,5116,3704,6651,6707,4311,4720,5972,6052,4191,3739,
15/08/2016,5087,3659,6649,6743,4279,4675,5984,5992,4130,3672,
16/08/2016,5063,3634,6649,6815,4269,4614,5967,5958,4058,3603,
17/08/2016,5044,3614,6642,6927,4219,4601,5926,5945,3978,3543,
18/08/2016,5008,3558,6611,7012,4183,4573,5867,5873,3931,3468,
19/08/2016,4977,3513,6570,7070,4184,4577,5768,5786,3908,3414,
20/08/2016,4943,3492,6557,7087,4194,4596,5653,5666,3874,3363,
21/08/2016,4909,3470,6547,7051,4234,4585,5539,5576,3878,3297,
22/08/2016,4875,3444,6566,6948,4294,4543,5439,5521,3901,3220,
23/08/2016,4857,3435,6583,6875,4363,4518,5385,5513,3915,3130,
24/08/2016,4840,3416,6584,6826,4441,4444,5353,5487,3909,3099,
25/08/2016,4841,3413,6603,6808,4510,4369,5324,5500,3939,3106,
26/08/2016,4849,3431,6585,6834,4573,4320,5329,5516,3959,3094,
27/08/2016,4855,3425,6550,6892,4643,4235,5351,5529,3987,3084,
28/08/2016,4854,3399,6510,6899,4702,4118,5395,5569,4042,3055,
29/08/2016,4847,3368,6489,6879,4790,3987,5407,5614,4085,3005,
30/08/2016,4845,3367,6478,6852,4860,3901,5415,5638,4116,2983,
31/08/2016,4852,3376,6479,6837,4908,3843,5407,5661,4158,3000,
01/09/2016,4865,3347,6484,6835,4937,3771,5405,5744,4225,3033,
02/09/2016,4885,3359,6429,6859,4974,3724,5459,5780,4285,3096,
03/09/2016,4907,3378,6386,6881,4957,3692,5531,5820,4363,3156,
04/09/2016,4934,3376,6392,6909,4920,3671,5591,5882,4448,3218,
05/09/2016,4968,3406,6360,6979,4904,3658,5651,5922,4543,3292,
06/09/2016,4981,3409,6280,7022,4895,3641,5694,5930,4605,3351,
07/09/2016,4993,3447,6220,7057,4911,3637,5687,5909,4641,3426,
08/09/2016,4996,3435,6166,7082,4938,3671,5639,5886,4639,3504,
09/09/2016,5014,3426,6168,7105,4940,3696,5638,5898,4670,3582,
10/09/2016,5045,3429,6165,7157,4952,3719,5675,5910,4724,3672,
11/09/2016,5051,3418,6167,7172,4926,3710,5706,5885,4744,3731,
12/09/2016,5064,3444,6210,7191,4869,3700,5758,5877,4749,3779,
13/09/2016,5080,3438,6275,7230,4848,3664,5837,5886,4740,3805,
14/09/2016,5082,3409,6308,7233,4856,3612,5923,5875,4728,3791,
15/09/2016,5091,3404,6313,7243,4897,3595,5994,5896,4729,3752,
16/09/2016,5111,3370,6334,7260,4907,3637,6047,5928,4785,3732,
17/09/2016,5136,3362,6374,7257,4905,3610,6077,5996,4877,3761,
18/09/2016,5149,3409,6373,7257,4921,3509,6093,6014,4960,3807,
19/09/2016,5170,3472,6405,7257,4962,3452,6081,6006,5037,3861,
20/09/2016,5176,3535,6427,7214,4930,3427,6049,5988,5100,3916,
21/09/2016,5172,3582,6407,7163,4900,3437,5958,5988,5124,3988,
22/09/2016,5181,3645,6435,7159,4872,3467,5870,5993,5146,4042,
23/09/2016,5204,3730,6479,7141,4851,3491,5780,6045,5257,4065,
24/09/2016,5218,3773,6493,7158,4838,3514,5745,6089,5310,4042,
25/09/2016,5212,3804,6538,7165,4768,3531,5729,6065,5330,3980,
26/09/2016,5201,3829,6563,7165,4769,3576,5706,5963,5338,3900,
27/09/2016,5195,3877,6602,7123,4787,3610,5719,5869,5352,3819,
28/09/2016,5183,3940,6616,7101,4747,3652,5753,5795,5316,3723,
29/09/2016,5164,4004,6617,7063,4692,3736,5734,5740,5264,3627,
30/09/2016,5142,4055,6644,6979,4638,3795,5726,5680,5222,3535,
01/10/2016,5119,4133,6672,6885,4562,3785,5707,5682,5178,3462,
02/10/2016,5093,4191,6663,6821,4497,3783,5658,5674,5108,3441,
03/10/2016,5081,4234,6686,6790,4483,3760,5605,5659,5055,3454,
04/10/2016,5083,4271,6723,6793,4489,3763,5570,5620,5027,3489,
05/10/2016,5108,4344,6759,6823,4563,3778,5555,5621,5015,3514,
06/10/2016,5133,4434,6803,6823,4626,3804,5567,5599,5043,3497,
07/10/2016,5161,4523,6834,6836,4708,3785,5629,5584,5036,3516,
08/10/2016,5189,4606,6852,6842,4730,3789,5735,5554,5067,3522,
09/10/2016,5212,4623,6865,6812,4766,3812,5807,5539,5124,3559,
10/10/2016,5241,4655,6901,6776,4840,3827,5851,5525,5192,3600,
11/10/2016,5284,4687,6953,6767,4950,3838,5916,5558,5244,3641,
12/10/2016,5346,4692,7070,6815,5111,3839,5942,5652,5314,3674,
13/10/2016,5404,4731,7205,6847,5228,3844,5965,5744,5350,3721,
14/10/2016,5436,4760,7345,6862,5288,3822,5933,5752,5394,3768,
15/10/2016,5461,4822,7485,6881,5295,3804,5925,5752,5440,3744,
16/10/2016,5478,4874,7618,6883,5294,3803,5905,5776,5435,3712,
