a14,1980349,-72.3,-36
b21a,2010045,-72.38,-112.35
b05a,1990021,-72.5,-111.9
b08,1990168,-72.7,-119.8
e10,1998022,-72.9207,-176.4672
a30,1991132,-73,-35.4
b15c,2002005,-73.1,-179.3
b17,2000357,-73.3108,-179.5039
b32,2014311,-73.4,-131.88
b48,2020059,-73.5,-114.4833
b47,2020346,-73.5371,-134.163
b22e,2003250,-73.7,-138.4
a13,1980349,-73.8,-38.5
b22a,2022056,-73.81,-109.46
c13,1997110,-74.03,168.48
b22d,2002174,-74.1,-106.8
b49,2020263,-74.1482,-106.3113
b29,2022112,-74.19,-109.54
e14,1998181,-74.2138,177.1904
b28,2022084,-74.37,-109.37
b21b,2002055,-74.38,-104.57
b23,2003033,-74.4,-109
b21,2001329,-74.4,-103.6
b33,2015143,-74.4475,-103.4816
b24,2003131,-74.5,-109.3
b45,2022084,-74.51,-109.56
b36,2015275,-74.6167,-104.7
b25,2003040,-74.7,-109.3
a23a,2022113,-74.863,-37.9856
b44,2017287,-74.93,-100.967
b07a,1991216,-75.1,-157.8
a76,2021142,-75.1646,-59.0531
a74,2021218,-75.19,-26.84
a67,2016001,-75.3167,-26.9
a27a,2004228,-75.4,-42.5
a42,2001252,-76.1,-49.1
a23,1990035,-76.2,-41
a22,1990035,-76.5,-42.5
b38,2017048,-76.7833,-155.1667
b20,2000268,-77,170.7
a38,1998284,-77.1,-49.7
a40a,2000312,-77.1418,-48.7871
a40,1999122,-77.3,-50.1
b15,2000093,-77.95,-170.85
b26,2004074,-78.4,-165.3
