Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
23/04/2016,167.65,,165.38,171.23,162.18,169.97,165.07,174.81,170.5,164.99,159.51,174.66,168.87,164.68
24/04/2016,168.16,,166.05,172.35,162.47,170.67,165.95,174.93,169.63,165.98,158.8,175.56,168.74,166.76
25/04/2016,168.74,,167,173.44,162.89,171.21,166.2,175.43,169.76,166.23,159.99,175.77,169.2,167.8
26/04/2016,169.06,,167.48,175.49,163.04,171.29,166.46,175.8,170.33,165.38,159.98,175.75,169.77,167.99
27/04/2016,169.61,,167.08,176.67,164.01,171.98,167.36,177.32,171.57,164.28,160.41,176.3,170.66,167.65
28/04/2016,170.21,,167.8,177.28,166.18,172.63,167.72,178.08,173.38,162.63,161.43,175.77,171.19,168.43
29/04/2016,170.78,,168.43,177.41,168.19,173,168.67,178.57,174.79,162.3,161.92,175.38,171.71,168.94
30/04/2016,171.12,,168.44,177.98,169.86,173.78,169.18,177.88,174.83,162.57,162.05,175.01,172.37,169.49
01/05/2016,171.41,,167.72,178.26,171.99,173.92,170.14,177.59,174.19,163.17,163.58,174.15,172.31,169.92
02/05/2016,171.72,,167.09,178.35,173.3,173.16,171.45,177.06,173.94,164.25,165.55,174.17,171.69,170.6
03/05/2016,172.04,,166.16,177.81,174.59,172.76,172.05,178.23,174.41,165.03,167,173.78,170.61,172
04/05/2016,172.45,,166.12,177.49,175.42,173.4,172.81,179.57,174.6,165.87,168.1,173.28,169.29,173.43
05/05/2016,173.11,,166.93,178.56,175.47,173.7,173.31,180.66,175.02,166.93,169.43,173.74,169.41,174.16
06/05/2016,173.88,,167.77,179.78,175.08,174.07,174.44,181.19,175.19,167.84,171.35,175.35,170.15,174.37
07/05/2016,174.89,,169.81,180.22,174.66,175.47,175.66,181.32,175.62,169.79,173.41,176.88,171.71,174.17
08/05/2016,175.66,,170.88,180.61,174.4,176.84,176.45,181.92,176.92,170.51,175.49,177.6,173.12,173.23
09/05/2016,176.14,,171.4,180.31,174.42,177.9,175.71,183.03,177.92,171.28,177.11,177.39,173.96,173.28
10/05/2016,176.32,,171.32,180.42,173.98,177.48,176.05,184.06,177.84,171.64,178.4,176.46,174.34,173.87
11/05/2016,176.67,,171.47,181.48,174.53,178.17,177.33,184.34,177.8,172.02,178.57,175.07,175.4,173.91
12/05/2016,176.64,,171.7,182.11,174.8,178.09,177.91,184.04,177.73,172.62,177.48,174.54,174.41,174.19
13/05/2016,176.47,,171.36,182.59,175.13,178.16,177.94,182.62,177.7,171.89,176.44,174.65,174.3,174.83
14/05/2016,176.31,,170.9,182.79,175.09,178.14,177.7,181.54,178.1,172.16,175.94,174.6,173.67,175.12
15/05/2016,176.09,,171.6,181.94,175.53,178.41,177.12,180.56,178.36,171.94,174.86,174.23,173.4,175.13
16/05/2016,175.92,,171.34,181.11,176.19,178.27,176.3,180.71,178.2,172.11,173.91,174.13,173.77,174.97
17/05/2016,175.64,,171.5,181.03,176.55,177.46,175.42,181.01,177.61,172.25,172.75,174.49,173.63,174.03
18/05/2016,175.6,,171.71,181.03,177.48,177.76,174.7,181.25,176.91,172.73,172.26,175.05,172.58,173.76
19/05/2016,175.36,,170.4,179.79,178.97,178.19,174.84,180.98,176.74,172.15,171.53,175.09,172.22,173.43
20/05/2016,175.22,,169.88,179.61,179.7,178.18,174.17,181.27,177,171.73,171.6,174.84,171.75,172.9
21/05/2016,174.92,,170.03,179.4,180.75,177.52,173.6,180.17,176.88,170.57,171.73,174.71,171.18,172.49
22/05/2016,174.84,,169.33,180.72,181.15,177,173.48,179.98,176.32,169.82,172.15,174.08,172.06,171.97
23/05/2016,174.55,,168.77,180.88,181.23,175.88,173.7,180.34,176.21,168.46,171.44,173.33,172.81,171.51
24/05/2016,174.29,,169.38,180.72,180.24,176.03,173.77,180.03,175.85,167.5,170.5,171.92,174.14,171.43
25/05/2016,173.92,,169.88,180.67,179.91,175.92,173.18,179.74,175.75,165.82,169.08,171.04,174.88,171.12
26/05/2016,173.46,,169.65,180.89,179.9,175.04,172.54,179.37,175.51,164.98,168.88,170.03,174.42,170.32
27/05/2016,173.06,,168.95,180.59,180.11,174.53,171.91,179.04,176.44,164.6,168.05,169.22,173.92,169.39
28/05/2016,172.62,,168.68,180.24,180.5,175.04,171.33,178.07,176.94,163.62,167.75,168.24,172.59,168.49
29/05/2016,172.64,,169.03,180.53,180.33,175.37,170.51,178.26,177.05,162.99,167.87,168.76,172.38,168.63
30/05/2016,172.36,,169.2,180.11,179.46,176.01,169.76,177.92,177.45,163.7,167.8,168.22,171.29,167.43
31/05/2016,172.47,,169.65,179.9,179.84,176.32,168.89,177.66,178.68,164.91,167.64,167.68,170.61,167.9
01/06/2016,172.73,,170.04,178.75,180.36,176.04,168.52,179.39,179.02,166.61,167.71,167.99,170.04,168.28
02/06/2016,172.93,,170.81,176.56,181.48,175.99,168.72,179.41,179.95,168.4,168.48,167.24,169.56,168.52
03/06/2016,173.06,,170.73,175.16,181.81,176.33,168.46,179.08,180.47,170.13,168.47,166.25,169.81,170.05
04/06/2016,173.11,,171.31,174.52,182.56,174.64,168.74,179.36,180.19,171.57,167.58,166.44,169.73,170.68
05/06/2016,173.16,,171.05,174.85,182.31,173.19,169.84,179.5,180.67,172.86,167.02,166.47,169.69,170.41
06/06/2016,173.19,,170.33,174.18,183.11,172.24,169.96,179.51,180.77,174.67,166.25,166.65,169.07,171.51
07/06/2016,173,,169.06,173.7,181.98,171.34,169.64,178.91,181.03,177.29,165.99,166.87,168.59,171.6
08/06/2016,172.66,,167.97,172.88,180.79,170.4,170,178.7,181.25,178.72,164.88,166.81,167.91,171.6
09/06/2016,172.41,,167.06,172.55,180.37,169.13,170.39,178.98,181.7,178.26,165.31,166.44,167.15,171.53
10/06/2016,172.16,,165.86,172.56,179.65,167.55,171.37,178.66,180.85,178.34,165.65,166.73,166.87,171.8
11/06/2016,171.89,,165.02,172.1,178.77,167.77,171.56,177.65,180.08,177.95,167,166.25,167.17,171.36
12/06/2016,171.2,,164.66,170.16,177.91,166.6,171.88,176.41,178.6,177.6,167.56,165.92,166.23,170.87
13/06/2016,170.48,,164.27,170.29,176.42,164.82,171.95,174.41,174.9,178.49,167.81,165.74,165.95,170.68
14/06/2016,169.84,,162.86,169.08,176.39,163.25,172.76,173.61,172.11,177.19,168.74,165.96,165.66,170.44
