Date,Greenland,Canada,USA,eastern Canada,western Canada,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
20/04/1997,0.12,-1.044,-0.431,-1.247,-2.191,0.095,0.337,-2.572,0.578,-0.214,-1.517
21/04/1997,0.118,-0.971,-0.375,-1.236,-1.977,0.087,0.606,-1.688,0.218,-0.189,-1.407
22/04/1997,0.132,-1.109,-0.401,-1.444,-2.224,0.092,0.476,-1.976,0.359,-0.164,-1.464
23/04/1997,0.139,-1.125,-0.412,-1.752,-1.988,0.058,0.436,-1.848,0.42,-0.202,-1.565
24/04/1997,0.143,-0.925,-0.432,-1.396,-1.672,0.05,0.248,-0.616,0.427,-0.214,-1.833
25/04/1997,0.15,-1.035,-0.504,-1.431,-1.938,0.026,0.22,-0.661,0.225,-0.186,-1.818
26/04/1997,0.145,-1.125,-0.494,-1.571,-2.038,-0.023,0.089,-0.834,0.172,-0.267,-1.574
27/04/1997,0.15,-1.262,-0.409,-1.755,-2.275,-0.039,-0.077,-0.902,0.267,-0.274,-1.259
28/04/1997,0.154,-1.053,-0.25,-1.257,-2.02,-0.07,-0.262,0.098,0.229,-0.046,-0.869
29/04/1997,0.159,-1.183,0.01,-1.468,-2.2,-0.101,0.365,0.062,0.386,-0.031,-0.668
30/04/1997,0.163,-1.367,-0.123,-1.618,-2.505,-0.203,0.199,-0.415,0.293,-0.046,-0.736
01/05/1997,0.163,-1.573,-0.23,-1.876,-2.855,-0.246,0.068,-0.445,0.209,-0.039,-0.884
02/05/1997,0.167,-1.792,-0.368,-2.204,-3.166,-0.311,-0.055,-0.498,0.225,-0.042,-1.238
03/05/1997,0.172,-1.953,-0.423,-2.381,-3.44,-0.363,-0.286,-0.552,0.242,-0.045,-1.241
04/05/1997,0.182,-1.243,-0.341,-2.57,-1.185,-0.381,0.412,-0.542,0.18,-0.055,-1.443
05/05/1997,0.184,-1.646,-0.123,-2.694,-2.179,-0.462,0.455,-0.435,0.087,-0.053,-0.705
06/05/1997,0.188,-1.844,-0.009,-3.031,-2.461,-0.491,0.897,-0.503,0.088,-0.069,-0.655
07/05/1997,0.186,-1.101,-0.077,-1.788,-1.225,-0.52,0.585,-0.509,0.093,-0.075,-0.642
08/05/1997,0.181,-1.109,-0.128,-1.91,-1.267,-0.421,0.5,-0.652,0.059,-0.08,-0.663
09/05/1997,0.182,-1.192,-0.177,-1.997,-1.396,-0.46,0.36,-0.563,0.02,-0.052,-0.702
10/05/1997,0.186,-1.155,-0.092,-1.72,-1.372,-0.576,0.697,-0.54,0.02,-0.046,-0.689
11/05/1997,0.182,-1.271,-0.052,-1.812,-1.472,-0.724,0.507,-0.558,0.153,-0.055,-0.554
12/05/1997,0.174,-1.421,-0.089,-1.968,-1.72,-0.785,0.193,-0.296,0.146,-0.061,-0.5
13/05/1997,0.176,-1.561,-0.248,-2.086,-1.854,-0.946,0.081,-0.316,0.004,-0.085,-0.763
14/05/1997,0.176,-1.631,-0.224,-2.406,-1.813,-0.94,0.269,-0.318,0.011,-0.088,-0.837
15/05/1997,0.164,-1.723,-0.286,-2.237,-2.111,-1.031,0.12,0,0.002,-0.089,-1.001
16/05/1997,0.16,-1.704,-0.398,-1.996,-2.181,-1.087,-0.321,0,0.002,-0.009,-1.036
17/05/1997,0.258,-1.722,-0.443,-1.76,-2.342,-1.154,-0.481,0,0.001,-0.009,-1.058
18/05/1997,0.461,-1.642,-0.473,-1.894,-2.381,-0.824,-0.442,0,0.003,-0.009,-1.186
19/05/1997,0.252,-1.985,-0.562,-2.228,-2.622,-1.262,-0.786,0,0.018,-0.017,-1.226
20/05/1997,0.257,-2.127,-0.613,-2.573,-2.692,-1.329,-0.962,0,0.001,-0.023,-1.237
21/05/1997,0.346,-2.052,-0.634,-2.934,-2.81,-0.786,-0.992,0,0.001,-0.02,-1.283
22/05/1997,0.343,-2.226,-0.671,-3.236,-2.824,-1.012,-1.147,0,0.001,-0.018,-1.284
23/05/1997,0.324,-2.261,-0.649,-3.379,-2.845,-0.983,-1.109,0.001,0.001,-0.02,-1.242
24/05/1997,0.328,-2.369,-0.563,-3.538,-2.944,-1.065,-0.655,0,0.001,-0.02,-1.311
25/05/1997,0.311,-1.795,-0.473,-1.669,-2.665,-1.123,-0.376,0,0.001,-0.018,-1.232
26/05/1997,0.307,-2.065,-0.559,-2.318,-2.731,-1.309,-0.721,0,0,-0.018,-1.247
27/05/1997,0.313,-2.002,-0.514,-2.086,-2.856,-1.199,-0.478,0,0,-0.021,-1.285
28/05/1997,0.359,-2.181,-0.544,-2.291,-2.978,-1.412,-0.619,0,0,-0.023,-1.275
29/05/1997,0.378,-2.066,-0.602,-2.424,-2.974,-1.029,-0.811,0,0,-0.024,-1.315
30/05/1997,0.38,-2.188,-0.618,-2.588,-2.978,-1.223,-0.828,0,0,-0.024,-1.353
31/05/1997,0.35,-2.202,-0.667,-2.697,-2.699,-1.429,-1.045,0,0,-0.027,-1.345
01/06/1997,0.352,-2.249,-0.714,-2.56,-2.85,-1.511,-1.227,0,0,-0.027,-1.357
02/06/1997,0.345,-2.154,-0.739,-2.512,-2.481,-1.624,-1.243,0,0,-0.027,-1.426
03/06/1997,0.344,-2.261,-0.839,-2.807,-2.53,-1.652,-1.6,0,0,-0.03,-1.476
04/06/1997,0.585,-2.214,-0.895,-2.943,-2.556,-1.416,-1.789,0,0,-0.03,-1.514
05/06/1997,0.308,-1.791,-0.882,-2.77,-1.423,-1.44,-1.884,0,0,-0.03,-1.4
06/06/1997,0.233,-0.962,-0.68,-0.064,-1.368,-1.224,-1.041,0,0,-0.03,-1.391
07/06/1997,0.432,-0.872,-0.547,-0.071,-1.428,-0.938,-0.459,0,0,-0.03,-1.404
08/06/1997,0.138,-1.152,-0.58,-0.272,-1.44,-1.506,-0.575,0,0,-0.03,-1.421
09/06/1997,0.096,-1.002,-0.497,0.258,-1.432,-1.493,-0.733,0,0,-0.03,-1.035
10/06/1997,0.342,-0.908,-0.529,0.236,-1.46,-1.214,-0.84,0,0,-0.03,-1.057
11/06/1997,0.026,-1.204,-0.537,0.063,-1.489,-1.825,-0.876,0,0,-0.03,-1.054
12/06/1997,0.247,-1.17,-0.577,-0.034,-1.532,-1.633,-1.036,0,0,-0.03,-1.063
13/06/1997,0.2,-1.181,-0.62,-0.151,-1.39,-1.707,-1.184,0,0,-0.03,-1.088
14/06/1997,0.022,-1.353,-0.646,-0.269,-1.325,-2.121,-1.28,0,0,-0.03,-1.098
15/06/1997,0.283,-1.318,-0.671,-0.386,-1.303,-1.971,-1.326,0,0,-0.03,-1.146
16/06/1997,0.59,-0.31,-0.35,0.129,-1.232,0.191,-0.698,0,0,-0.03,-0.589
17/06/1997,-0.111,-1.287,-0.726,-0.456,-1.296,-1.851,-1.553,0,0,-0.03,-1.149
18/06/1997,0.262,-0.788,-0.739,-0.195,-1.312,-0.738,-1.585,0,0,-0.03,-1.168
19/06/1997,-0.09,-0.918,-0.726,-0.244,-1.318,-1.031,-1.639,0,0,-0.03,-1.082
20/06/1997,0.151,-0.879,-0.744,-0.255,-1.338,-0.908,-1.719,0,0,-0.03,-1.081
21/06/1997,0.213,-1.081,-0.785,-0.435,-1.399,-1.248,-1.782,0,0,-0.03,-1.165
22/06/1997,0.161,-0.996,-0.783,-0.481,-1.446,-0.956,-1.841,0,0,-0.03,-1.114
23/06/1997,-0.153,-1.765,-0.683,-0.504,-1.47,-2.889,-1.388,0,0,-0.03,-1.136
24/06/1997,-0.169,-1.802,-0.551,-0.527,-1.465,-2.971,-1.074,0,0,-0.03,-0.952
25/06/1997,0.105,-1.431,-0.472,-0.499,-1.397,-2.101,-1.071,0,0,-0.03,-0.699
