Date,Asia,East Siberia,Central Siberial,West Siberia,Mid-lat Asia,Tibet
23/12/1997,-0.106,0.01,0.001,-0.016,0.355,-1.673
24/12/1997,-0.083,0.01,0.001,-0.019,0.386,-1.587
25/12/1997,-0.042,0.01,0.001,-0.023,0.406,-1.339
26/12/1997,-0.058,0.01,0.001,-0.024,0.355,-1.323
27/12/1997,-0.055,0.01,0.001,-0.027,0.375,-1.351
28/12/1997,-0.062,0.01,0.001,-0.027,0.396,-1.454
29/12/1997,-0.061,0.01,0.001,-0.028,0.395,-1.443
30/12/1997,-0.094,0.01,0.001,-0.031,0.36,-1.588
31/12/1997,-0.08,0.01,0.001,-0.026,0.38,-1.544
01/01/1998,-0.014,0.011,0.002,-0.025,0.434,-1.211
02/01/1998,-0.01,0.011,0.002,-0.022,0.401,-1.101
03/01/1998,-0.01,0.011,0.002,-0.022,0.416,-1.144
04/01/1998,-0.021,0.011,0.002,-0.017,0.365,-1.096
05/01/1998,-0.007,0.012,0.001,-0.016,0.388,-1.053
06/01/1998,-0.017,0.012,0.002,-0.015,0.363,-1.065
07/01/1998,-0.018,0.012,0.002,-0.014,0.353,-1.045
08/01/1998,-0.012,0.013,0.002,-0.013,0.35,-0.996
09/01/1998,-0.012,0.013,0.002,-0.015,0.292,-0.843
10/01/1998,-0.062,0.013,0.002,-0.017,0.231,-1.043
11/01/1998,-0.083,0.014,0.002,-0.017,0.229,-1.191
12/01/1998,-0.206,0.014,0.002,-0.02,-0.011,-1.448
13/01/1998,-0.133,0.015,0.002,-0.02,0.176,-1.404
14/01/1998,-0.173,0.015,0.002,-0.021,0.067,-1.416
15/01/1998,-0.175,0.016,0.002,-0.019,0.059,-1.407
16/01/1998,-0.178,0.016,0.002,-0.018,0.077,-1.479
17/01/1998,-0.343,0.017,0.002,-0.019,-0.319,-1.637
18/01/1998,-0.369,0.018,0.002,-0.015,-0.403,-1.613
19/01/1998,-0.315,0.018,0.002,-0.019,-0.358,-1.336
20/01/1998,-0.283,0.019,0.002,-0.026,-0.319,-1.204
21/01/1998,-0.294,0.02,0.002,-0.02,-0.348,-1.211
22/01/1998,-0.19,0.021,0.003,-0.026,-0.191,-0.869
23/01/1998,-0.209,0.022,0.003,-0.025,-0.201,-0.983
24/01/1998,-0.198,0.023,0.003,-0.02,-0.212,-0.878
25/01/1998,-0.208,0.024,0.002,-0.017,-0.201,-0.981
26/01/1998,-0.251,0,0,-0.013,-0.277,-1.069
27/01/1998,-0.23,0,0,-0.014,-0.181,-1.166
28/01/1998,-0.186,0,0,-0.014,-0.126,-0.996
29/01/1998,-0.17,0,-0.001,-0.011,-0.086,-0.983
30/01/1998,-0.159,0,-0.001,-0.012,-0.004,-1.114
31/01/1998,-0.154,0,-0.001,-0.012,-0.007,-1.078
01/02/1998,-0.163,0,-0.001,-0.006,-0.032,-1.081
02/02/1998,-0.197,0,-0.001,-0.007,-0.07,-1.223
03/02/1998,-0.206,0,-0.001,-0.013,-0.077,-1.263
04/02/1998,-0.103,0,-0.001,-0.014,0.237,-1.335
05/02/1998,-0.169,0,-0.001,-0.016,0.241,-1.822
06/02/1998,-0.157,0,-0.001,-0.017,0.238,-1.723
07/02/1998,-0.222,0,-0.001,-0.017,0.153,-1.968
08/02/1998,-0.254,0,-0.001,-0.028,0.061,-1.946
09/02/1998,-0.269,0,-0.001,-0.024,-0.049,-1.779
10/02/1998,-0.041,0,-0.001,-0.024,0.41,-1.329
11/02/1998,-0.143,0,0,-0.028,0.086,-1.218
12/02/1998,-0.137,0,0,-0.025,0.069,-1.133
13/02/1998,-0.115,0,0,-0.027,0.083,-1.014
14/02/1998,-0.057,0,0,-0.033,0.208,-0.916
15/02/1998,-0.076,0,-0.001,-0.037,0.242,-1.137
16/02/1998,-0.053,-0.001,-0.001,-0.035,0.161,-0.76
17/02/1998,-0.014,0,-0.001,-0.028,0.176,-0.529
18/02/1998,0.135,-0.001,-0.001,-0.033,0.325,0.16
19/02/1998,0.105,-0.001,-0.001,-0.01,0.211,0.216
20/02/1998,0.011,-0.001,-0.001,-0.017,0.097,-0.154
21/02/1998,0.043,-0.001,-0.001,-0.011,0.209,-0.218
22/02/1998,0.03,-0.001,-0.001,-0.002,0.212,-0.332
23/02/1998,-0.055,-0.001,-0.001,-0.003,0.061,-0.551
24/02/1998,-0.053,-0.001,-0.001,-0.003,0.117,-0.683
25/02/1998,0.024,-0.001,-0.001,-0.013,0.321,-0.642
26/02/1998,0.065,-0.001,-0.001,-0.011,0.373,-0.487
27/02/1998,0.079,-0.001,-0.001,-0.018,0.442,-0.56
28/02/1998,0.083,-0.001,-0.001,-0.024,0.444,-0.526
01/03/1998,0.214,-0.001,0,-0.029,0.736,-0.34
02/03/1998,0.236,-0.001,0,-0.02,0.767,-0.273
03/03/1998,0.186,-0.001,-0.001,-0.039,0.669,-0.358
04/03/1998,0.202,-0.001,0.031,-0.056,0.736,-0.446
05/03/1998,0.251,-0.001,0.03,-0.06,0.865,-0.427
06/03/1998,0.214,-0.001,0.016,-0.064,0.821,-0.552
07/03/1998,0.175,-0.001,0.002,-0.057,0.793,-0.745
08/03/1998,0.13,-0.001,-0.001,-0.058,0.704,-0.834
09/03/1998,0.028,-0.001,-0.003,-0.052,0.646,-1.415
10/03/1998,0.072,-0.001,-0.003,-0.009,0.783,-1.494
11/03/1998,0.113,-0.001,-0.003,-0.011,0.91,-1.533
12/03/1998,0.125,-0.001,0.001,0.039,1.047,-1.855
13/03/1998,0.072,-0.001,0.002,0.029,0.943,-1.955
14/03/1998,-0.029,-0.001,0.003,-0.004,0.757,-2.164
15/03/1998,-0.021,-0.001,0.005,-0.017,0.679,-1.899
16/03/1998,-0.083,-0.001,0.005,-0.026,0.457,-1.758
17/03/1998,-0.095,-0.001,0.023,0.011,0.404,-1.77
18/03/1998,-0.144,-0.001,0.023,0.029,0.324,-1.937
19/03/1998,-0.462,-0.001,0.016,0.034,-0.593,-1.84
20/03/1998,-0.528,-0.001,0.018,0.011,-0.8,-1.752
21/03/1998,-0.646,-0.001,0.018,-0.026,-1.394,-1.021
22/03/1998,-0.581,-0.001,0.039,0.002,-1.242,-1.017
23/03/1998,-0.622,-0.001,0.033,-0.015,-1.261,-1.234
24/03/1998,-0.573,-0.002,0.028,-0.041,-1.003,-1.514
